source_id,date_raw,date_parsed,time,location,country,description,references
Magonia_499,10/25/1959,1959-10-25,,"Fort William, Canada",Canada,"On the Trans-Canada Highway west of this town, four hunters (Douglas Robinson, Ray Disguiseppe, Victor Arnone and John Defilippo, of Port-Arthur) saw an oval, luminous object follow their car about 13 m above them. The object was spinning, stopped when they did, was white in color and remained with them for nearly 50 km.","FSR 60, 1 (Vallee)"
Magonia_500,12/22/1959,1959-12-22,2350,"Oakdale, California",United States,"Kenneth Lindsley and several other witnesses saw a bright, orange object at ground level. It was bowl-shaped, as wide as the road, and shadows that appeared to be moving could be seen.","FSR 60, 3 (Vallee)"
Magonia_501,Spring 1960,1960,night,"Syracuse, New York",United States,"An electronics engineer was fishing when he heard a shrill, whirring sound and saw a round object, with a rotating light on top, land on the shore. The sound gradually stopped, an opening became visible, and two dwarfs with oversized heads came out with a hose and pumped water from the river. Later they appeared to play like children. Their bodies glowed with lights of changing colors.",Binder (Vallee)
Magonia_502,4/5/1960,1960-04-05,,"Beira, Mozambique",Mozambique,"An orange disk landed with a hissing sound, then exploded, while four dwarfish figures ran away into the brush.","FSR 60, 5; 126 (Vallee)"
Magonia_503,4/18/1960,1960-04-18,2100,"Lacamp, Louisiana",United States,"Mr. Arnold saw a round object, fiery red in color, arriving at high speed from the south. It touched the ground about 300 m away with a loud explosion heard by many people, and a flame. It bounced in an easterly direction for about 300 m, then rose again, turned west and disappeared. The ground was scarred in nine places, and a substance resembling metallic paint was found.","Science & Mechanics Dec., 66 (Vallee)"
Magonia_504,5/4/1960,1960-05-04,0915,"Sarasota, Florida",United States,"A yellow, elliptical object with four evenly spaced windowlike openings was observed at ground level by an architect.","NICAP May., 60 (Vallee)"
Magonia_505,5/14/1960,1960-05-14,0400,"Paracuru, Brazil",Brazil,"Raimondo dos Santos saw two craft land on hill near a farm called Capin Acu. He went near them and saw several small beings, palelooking, making friendly gestures. He ran away. The creatures wore blue uniforms and white helmets. The previous day at 1900, over 100 witnesses had observed a dark-gray, circular craft, 20 m in diameter with a powerful light, maneuvering and hovering.",Humanoids 37; LDLN 58 (Vallee)
Magonia_506,5/19/1960,1960-05-19,night,"Siracusa, Italy",Italy,"Salvatore Cianci, jeweler, and his wife, were driving near this Sicilian town when a creature about 1 m tall appeared in the headlights. It wore a shining coverall and a diving helmet and had two short wings. Mrs. Cianci suffered from shock.","FSR 64, 4 (Vallee)"
Magonia_507,5/25/1960,1960-05-25,,"Chinthurst Hill, Great Britain",United Kingdom,"Vera Bowden, 35, saw a gray, elliptical object hovering at tree height over Broadwater Lake for 18 min. Then it left toward the west.","FSR 60, 5 (Vallee)"
Magonia_508,8/1960,1960-08,0920,"Hamburg, Germany",Germany,"Mrs. K. St. Bereits was in her garden when she saw an object coming down at great speed. Arriving at ground level, it came toward her, appearing as a disk standing on edge, 7 m in diameter with a pulsating halo of yellow light. Three beams of light came from a central opening. A sort of haze and ""gas stream"" was also described.","Nachrichten Jan., 61; FSR 61, 4 (Vallee)"
Magonia_509,9/23/1960,1960-09-23,2135,Labrador,,"A Canadian ship reported that a cylindrical object with lighted portholes came down, hit the ocean, and sank off the northcoast of Labrador.",Atic (Vallee)
Magonia_510,10/1960,1960-10,,"Yariguarenda Jungle, Argentina",Argentina,"New apparitions of a monstrous ""cyclops.""",129 (Vallee)
Magonia_511,11/11/1960,1960-11-11,night,"Warminster, Great Britain",United Kingdom,"Four witnesses, among them three military men, saw an object that seemed about to land, then took off again toward the north, leaving a trail of sparks and blinding them.","130; FSR 61,1 (Vallee)"
